,tokenize,n
10829,first,2015
7999,dose,1942
33852,thank,1792
12682,got,1684
34415,today,1581
31411,shot,1387
12097,get,1239
36439,vaccination,1134
36419,vaccinated,1094
19576,like,974
30940,second,888
8880,effective,883
12636,good,875
22983,news,611
12885,great,596
1465,approved,571
28892,received,559
30440,safe,528
5925,coronavirus,524
7964,done,511
38003,well,504
10543,feel,503
12871,grateful,499
10546,feeling,490
30674,say,484
12111,getting,483
8877,effect,450
31495,side,450
37962,week,449
36083,use,447
13685,health,446
13427,happy,443
26328,please,438
9784,eu,435
33374,take,427
38618,world,415
5997,country,405
3042,biontech,388
14334,hope,378
37761,want,373
2887,bharatbiotech,369
2768,best,363
22961,new,358
1573,arm,356
2787,better,347
21499,million,327
1463,approval,323
35536,uk,322
34713,trial,321
30791,science,312
